,Ambient_External_Temp_C,Internal_Set_Point_C,Actual_Internal_Temp_C,HVAC_Power_Consumption_Watts,Seal_Integrity_Index,Forecasted_4Hr_Spoilage_Risk_Pct
Ambient_External_Temp_C,1.0,-0.003994970385498246,-0.004035683466287413,0.5818273277358369,-0.0005079954062268595,-0.0013165352138725002
Internal_Set_Point_C,-0.003994970385498246,1.0,0.9997974979433422,-0.7995305649222072,0.0008735823575611938,-0.00382205235845656
Actual_Internal_Temp_C,-0.004035683466287413,0.9997974979433422,1.0,-0.7993656162143054,0.0009259053796954676,0.008354057421659074
HVAC_Power_Consumption_Watts,0.5818273277358369,-0.7995305649222072,-0.7993656162143054,1.0,-0.0014400667413655792,0.020818516636843167
Seal_Integrity_Index,-0.0005079954062268595,0.0008735823575611938,0.0009259053796954676,-0.0014400667413655792,1.0,-0.2049894952333503
Forecasted_4Hr_Spoilage_Risk_Pct,-0.0013165352138725002,-0.00382205235845656,0.008354057421659074,0.020818516636843167,-0.2049894952333503,1.0
