Model,Accuracy,Precision,Recall,F1_Score,Best_Params
RandomForest,0.9988333333333334,1.0,0.9988333333333334,0.9992310606060607,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}"
ExtraTrees,0.9983333333333333,0.998464355523094,0.9983333333333333,0.9982715624647235,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}"
